Presion,Temperatura,Frecuencia,Potencia_Medida,Potencia_Estimada
0.754587597,13.8,0,76.96497048,73.93534149
0.749951334,13.8,0,76.86004296,74.3677081
0.747013347,13.8,0.27729,77.56606089,74.88652291
0.7453349,13.8,2.03182,79.47672278,76.59216309
0.745431476,14.1,4.87895,80.99219783,78.94476171
0.745526154,14.1,6.79141,82.87482392,80.62448433
0.74554475,14.1,8.285143333,83.46992167,81.94159936
0.745912973,14.1,9,84.75781491,82.5384221
0.74610083,14.7,9,85.01476288,82.21652862
0.745980785,14.7,9,84.10374035,82.22772374
0.746066761,14.3,9,84.66508373,82.42262209
0.747269734,14.3,9,84.84966972,82.31043577
0.749510669,13.9,8.686603333,84.14736264,82.02766312
0.749900203,13.9,6.49357,82.51721398,80.05505991
0.749797678,14.5,3.527146667,80.34519094,77.14112792
0.749683468,14.5,1.4256,77.93242133,75.29627808
0.750300418,14.6,0,75.25267579,73.92932098
0.753321676,14.6,0,74.7949247,73.64756573
0.756801792,15.5,0,75.18214848,72.86645714
0.758830984,15.5,0,75.36497275,72.67721961
0.761970306,15.7,0,76.79409745,72.28299595
0.763614921,15.7,0,76.56002068,72.12962319
0.763317193,15.5,0,76.18906914,72.25884665
0.76340547,15.5,0,75.5172437,72.25061414
0.763766887,15.9,0,74.88269862,72.01399304
0.763919569,15.9,0,75.03299989,71.99975431
0.763804671,15.9,0,74.30290179,72.01046941
0.764126584,15.9,0,74.52130453,71.98044858
0.764351752,15.9,0,74.453836,71.95944999
0.76421506,15.9,0,74.15958376,71.97219751
0.763341852,16.3,0,74.42565352,71.85071457
0.76342014,16.3,0,74.34247997,71.8434136
0.763520119,16.4,0,74.72614264,71.78336077
0.76356322,16.4,0,73.79763831,71.77934127
0.763551262,16.7,0,74.10582894,71.62826924
0.763538204,16.7,0,74.40125768,71.62948704
0.763786711,16.2,0,74.99473811,71.85995715
0.763887667,16.2,0,74.28039251,71.85054226
0.763899855,15.8,0,74.47185434,72.05232186
0.76446758,15.8,0,75.11664922,71.99937722
0.764596689,15.4,0,74.82669807,72.19025302
0.764490851,15.4,0,74.7488641,72.20012326
0.764507973,15.9,0,74.92698282,71.94488114
0.763536302,15.9,0,75.18509333,72.03549688
0.759267519,14.8,0,75.14124458,72.99161284
0.755702062,14.8,0,75.86457215,73.32411865
0.75233234,15.1,0,75.73863738,73.48618357
0.747058958,15.1,0.1838,76.94889599,74.14024733
0.744023619,16.3,2.792446667,80.36053276,76.11779714
0.743201138,16.3,9.98349,85.73828838,82.54362642
0.743084469,17,18.36407,91.74914736,89.59879747
0.743541342,17,25.94530667,97.56094196,96.24982738
0.744102678,17.3,29.96589667,102.5381706,99.59515668
0.744415818,17.3,32.05730667,106.0851881,101.4125048
0.744205923,17.5,34.01332333,108.5404359,103.0576301
0.744121019,17.5,36.93168667,111.1724054,105.6422338
0.744244483,18.2,38.81663667,113.1443179,106.9398793
0.744504658,18.2,40.12012,114.5847019,108.0664895
0.744734742,18.9,41,115.0066883,108.466794
0.744657582,18.9,41,115.0361023,108.4739897
0.744686273,19.5,41.72967333,115.185671,108.811184
0.744806409,19.5,42,115.5036362,109.0386576
0.744840713,20.1,42,115.2893712,108.7310842
0.745388469,20.1,42,114.9815035,108.6800017
0.745960915,21,42,115.5334284,108.1700553
0.746029364,21,42,115.3727222,108.1636719
0.745952935,21.5,42,114.8082634,107.9171542
0.745930079,21.5,42,114.7249721,107.9192857
0.745998805,22,42,114.1463866,107.6592313
0.74584838,22,42,114.0866616,107.6732595
0.744697174,22.6,42.35836,114.2346937,107.7926476
0.743818276,22.6,44.67207333,115.9979947,109.9174387
0.743138469,23.2,50.82373333,119.0244539,115.1078943
0.742866336,23.2,59.83125667,124.8863295,123.0862087
0.742824496,23.7,68.96253333,129.0986436,130.8986657
0.743088556,23.7,77.74695,131.9390802,132
0.743555864,24,84.81856,132,132
0.744858444,24,90.44751333,132,132
0.745228755,24.4,97.33374333,132,132
0.760143605,28.5,38,103.4659164,99.51104696
0.761400603,28.5,36.43836667,102.1124966,98.01502275
0.761409965,28.1,34.45191333,99.154441,96.46318354
0.760832776,28.1,33.16936667,97.01958401,95.3846228
0.76107128,27.7,32.16387,94.46437565,94.67752215
0.760077316,27.7,32,94.41528413,94.62553245
0.758335464,27.2,32,95.23814118,95.04161857
0.757507057,27.2,33.59885667,97.23030111,96.53053872
0.757263276,27,36.04672,100.4209551,98.8160024
0.757283476,27,38.04873667,103.6716272,100.5817421
0.756963802,26.8,41.86145333,107.7303287,104.0793417
0.757062245,26.8,45.33967667,110.614674,107.1411593
0.757159267,26.1,47.54356667,112.4228919,109.4330765
0.757345951,26.1,49.76887667,114.0835785,111.3804408
0.757500889,25.1,51.14892,115.5232132,113.0917521
0.757366228,25.1,52.65824333,116.4342715,114.4369244
0.757712587,23.5,53.92223333,116.5256201,116.3322926
0.757901405,23.5,54,116.3754208,116.3833458
0.758089001,22.5,54,116.8772721,116.8731416
0.758262709,22.5,54,116.7661659,116.856942
0.759574876,21.7,54,116.3191722,117.1404049
0.760976857,21.7,54,116.163697,117.0096596
0.761766547,21.1,52.61023,115.5531119,116.0133315
0.762105151,21.1,49.18768333,113.456497,112.9599142
0.762175186,20.7,44.71743,110.0137846,109.2094164
0.762044789,20.7,40.92428667,107.3597311,105.8725291
0.761795078,20.3,37.80055333,104.4808836,103.3407215
0.76166465,20.3,34.91495,101.5739091,100.8051237
0.761398199,19.8,33.05972667,98.35581546,99.44560105
0.761414122,19.8,31.30362333,95.29347952,97.89361473
0.761182868,19.3,30.27961667,93.96036735,97.26470869
0.761426075,19.3,28.91706667,92.88612703,96.03900313
0.761352473,19,27.79194667,91.22713445,95.20466165
0.761341536,19,25.77365333,90.68600008,93.42368701
0.760747774,18.7,25,90.38646762,92.94817186
0.760471497,18.7,25,90.31987942,92.97393673
0.759803683,18.5,25,90.62349713,93.13767362
0.757779307,18.5,26.30033667,91.87113211,94.47455719
0.757092258,18.1,29.11897,93.03028025,97.23017782
0.757583792,18.1,31.45175667,96.73531827,99.24400609
0.757360403,17.8,33.80766667,101.6136498,101.4971095
0.757014076,17.8,36.84433333,105.7177178,104.2105454
0.757048435,17.5,39.83312,108.4095118,106.9983923
0.757099558,17.5,42.80052333,110.7013104,109.6136088
0.757229916,17.3,45.52031333,112.9081279,112.1042711
0.757051505,17.3,48.08059667,115.0891301,114.3814385
0.756998702,17.2,51.27020333,117.3485747,117.253264
0.756954333,17.2,54.59813,119.0192103,120.1956998
0.75696695,17,58.05838333,121.0763984,123.3511133
0.757297235,17,60.661,123.2319365,125.6182179
0.757687104,16.5,61.9642,123.6498232,126.9861283
0.757765883,16.5,62.14334667,123.6764551,127.136954
0.757951348,16,63,124.1150832,128.1296608
0.758132876,16,63,124.5926992,128.112732
0.758877545,15.6,63,125.2103721,128.2462022
0.75973562,15.6,63,124.9284335,128.1661802
0.760772533,15.3,62.97464,124.43924,128.1992765
0.761550437,15.3,61.52473,123.8149399,126.8465744
0.761880853,15,59.48008667,122.8930327,125.1626883
0.761933002,15,56.43413667,120.7072044,122.4684902
0.762063498,14.8,53.04252667,118.7421975,119.5632533
0.76196275,14.8,49.20217,116.4693132,116.1819154
0.762076435,14.5,45.62707667,113.9733995,113.1669738
0.762040211,14.5,42.23421333,111.1532242,110.17472
0.761929054,14.3,38.95594333,108.1428549,107.3920893
0.761813851,14.3,35.84882667,105.5793234,104.6594928
0.761363169,14,33.47739667,103.641564,102.7599229
0.760869549,14,32.79517,101.2984313,102.2036042
0.761476624,13.8,32.13297667,100.2341623,101.6637832
0.761260387,13.8,31.39153333,99.01039468,101.0293127
0.761089426,13.7,31,98.47439414,100.750292
0.76078908,13.7,30.61552333,98.12539233,100.4388388
0.758730211,13.6,30.58008667,98.20862147,100.6502852
0.757416688,13.6,31.56,100.3610103,101.6379677
0.757268544,13.3,33.63082,103.6389979,103.6323419
0.757390654,13.3,36.25743667,106.7798049,105.9400505
0.761450151,11.5,14.51943333,87.31380718,87.28164439
0.760916135,11.5,14,86.45858897,86.87282662
0.759836638,11.3,14,86.1552848,87.07495599
0.757944575,11.3,14,86.5809648,87.25140514
0.756630561,11.2,14.48456667,87.23363701,87.85251036
0.756330508,11.2,15.5261,87.93153516,88.80008471
0.756825098,11.1,16.80163667,88.75432212,89.93088822
0.756480736,11.1,17,88.43818059,90.13814185
0.755124864,11.1,18.32095333,89.25327476,91.43088526
0.755028085,11.1,22.29941667,92.06272507,94.95258142
0.75500082,11,25.65631,95.0975772,97.96972636
0.755242315,11,29.03835,98.44114572,100.9332809
0.755489595,10.9,31.44956667,101.6222003,103.0898643
0.755849936,10.9,32.33457667,104.3996038,103.8376541
0.756020512,10.7,33,105.0242032,104.5107213
0.75669624,10.7,33,104.9033996,104.4477045
0.758097712,10.7,33,105.0004589,104.3170066
0.759202917,10.7,32.52013667,104.1074426,103.7902563
0.759521451,10.7,31.16130333,101.4353722,102.5608074
0.759570915,10.7,29.30885333,98.89532997,100.9206266
0.759947951,10.5,26.89421333,96.01535569,98.85498574
0.760071622,10.5,23.12454667,92.95597993,95.5151327
0.760250668,10.4,18.63342333,90.14871671,91.58385511
0.760113461,10.4,13.83119,86.71655049,87.35665571
0.760014611,10.4,9.20145,83.28962982,83.27817729
0.759626371,10.4,4.92848,79.89645278,79.54168651
0.759216552,10.2,2.235523333,77.73133756,77.30369408
0.758326942,10.2,0.539096667,75.99234744,75.88884541
0.758994353,10.1,0,75.07908636,75.40135324
0.760588389,10.1,0,74.53654175,75.25269737
0.761925679,10.2,0,74.20872239,75.07725592
0.76129608,10.2,0,74.31498001,75.13597074
0.758696507,10.2,0,74.75945246,75.37840063
0.755063801,10.2,0,75.18603732,75.71717796
0.752397745,10.2,0.375786667,75.91847656,76.29759791
0.751531271,10.2,1.670686667,77.8972571,77.5216982
0.751573526,10.2,3.80253,79.2753743,79.40000794
